main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 818 Lines: Dummy-44-17700, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 395 Lines: Dummy-33-22340, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-34-21688, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-32-19716, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-36-22124, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 395 Lines: Dummy-37-8488, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 818 Lines: Dummy-45-3788, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-46-22892, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 818 Lines: Dummy-47-2140, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 395 Lines: Dummy-9-424, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

